Designator,Footprint,Quantity,Value,LCSC Part #
ANT2,ANT-SMD_6P-L1.6-W0.8-P1.20-1,1,ANT016008LCS2442MA,C76585
"C1, C2, C3, C4",CAP-SMD_BD4.0-L4.3-W4.3-LS5.1-FD,4,126RV0140,
"C11, C12, C19, C9",0603,4,10uF,
"C13, C15, C20, C21, C7",0402,5,100nF,
"C14, C16, C23, C24, C31, C5, C8",0402,7,2.2uF,
C17,0402,1,2.2uF,C12530
"C18, C22",0402,2,15pF,C1548
C25,0402,1,10nF,C15195
C26,0402,1,100nF,C1525
C27,0402,1,1.1pF,C88920
C28,0402,1,2.3pF,C2190124
C6,0402,1,10nF,
CN1,CONN-SMD_2P-P1.20_781710002,1,781710002,C505023
L1,0402,1,2.0nH,C76769
L4,0402,1,24nH,C404641
"LED1, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED2, LED20, LED21, LED22, LED23, LED24, LED25, LED26, LED27, LED28, LED29, LED3, LED30, LED31, LED32, LED33, LED34, LED35, LED36, LED37, LED38, LED39, LED4, LED40, LED41, LED42, LED43, LED5, LED6, LED7, LED8, LED9",LED-SMD_4P-L1.0-W1.0-TL_XL-1010RGBC-WS2812B,43,XL-1010RGBC-WS2812B,
Q1,SOT-23,1,CJ3407,C15903
Q2,SOT-723,1,"SSM3K15AMFV,L3F(T",
"R1, R11, R2, R3, R5, R6",0402,6,5.1k,C25905
"R10, R14, R21, R23, R4, R8",0402,6,100k,C25741
"R13, R17, R18, R19, R20, R25",0603,6,49.9r,C23185
"R16, R7, R9",0402,3,10k,C25744
SW1,SW-TH_MSK12C02,1,MSK12CO2-SZ,
U1,LGA-12_L2.0-W2.0-P0.50-BL,1,LIS2DH12TR,
U2,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-TL,1,LGS4084HB5-4.35,C20618071
U3,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,1,ESP32-C3,C2858491
U4,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,1,LW5233A23E,C20630437
U5,SENSOR-SMD_ICS-43432,1,ICS-43432,C574021
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,40MHz 10ppm 8pf,C2835990
