Designator,Mid X,Mid Y,Rotation,Layer
ANT2,122.673999,-94.5235,90.0,bottom
C1,147.751203,-84.723797,315.0,bottom
C11,141.761,-96.589,0.0,bottom
C12,123.15,-90.93,90.0,bottom
C13,124.44,-91.6,90.0,bottom
C14,127.4,-91.62,90.0,bottom
C15,136.1,-90.5,180.0,bottom
C16,136.1,-89.5,0.0,bottom
C17,144.057,-101.659667,0.0,bottom
C18,133.4,-99.25,90.0,bottom
C19,142.2,-92.5,90.0,bottom
C2,124.396122,-84.773818,225.0,bottom
C20,140.921,-93.022,90.0,bottom
C21,141.32,-94.6,180.0,bottom
C22,129.6,-99.25,90.0,bottom
C23,136.1,-91.5,0.0,bottom
C24,128.2,-86.57,270.0,bottom
C25,141.3,-84.42,180.0,bottom
C26,141.29,-83.35,180.0,bottom
C27,122.6595,-101.1725,270.0,bottom
C28,128.298,-94.3895,90.0,bottom
C3,147.776203,-108.112792,45.0,bottom
C31,148.896,-104.242,90.0,bottom
C4,124.4,-108.125,135.0,bottom
C5,129.2,-96.3,90.0,bottom
C6,130.2,-96.3,270.0,bottom
C7,129.76,-87.39,90.0,bottom
C8,146.291,-103.961,180.0,bottom
C9,142.301,-103.101,270.0,bottom
CN1,146.505,-108.129,180.0,top
L1,125.92,-92.14,180.0,bottom
L4,131.2,-96.3,90.0,bottom
LED1,127.571079,-75.72,0.0,bottom
LED10,156.78,-87.925099,90.0,bottom
LED11,156.78,-93.591766,90.0,bottom
LED12,156.78,-99.258432,90.0,bottom
LED13,156.78,-104.925099,90.0,bottom
LED14,160.8,-102.005099,270.0,bottom
LED15,160.8,-96.355099,270.0,bottom
LED16,160.8,-90.705099,270.0,bottom
LED17,164.84,-93.591766,90.0,bottom
LED18,164.84,-99.258432,90.0,bottom
LED19,144.589668,-117.08,180.0,bottom
LED2,133.237746,-75.72,0.0,bottom
LED20,138.923001,-117.08,180.0,bottom
LED21,133.256335,-117.08,180.0,bottom
LED22,127.589668,-117.08,180.0,bottom
LED23,130.509668,-121.1,0.0,bottom
LED24,136.159668,-121.1,0.0,bottom
LED25,141.809668,-121.1,0.0,bottom
LED26,138.923001,-125.12,180.0,bottom
LED27,133.256335,-125.12,180.0,bottom
LED28,133.2,-135.488698,0.0,bottom
LED29,139.2,-135.4665,0.0,bottom
LED3,138.904412,-75.72,0.0,bottom
LED30,136.2,-138.3,180.0,bottom
LED31,139.2,-141.155698,180.0,bottom
LED32,133.2,-141.155698,180.0,bottom
LED33,115.42,-104.943687,270.0,bottom
LED34,115.42,-99.277019,270.0,bottom
LED35,115.42,-93.610353,270.0,bottom
LED36,115.42,-87.943686,270.0,bottom
LED37,111.4,-90.863686,90.0,bottom
LED38,111.4,-96.513686,90.0,bottom
LED39,111.4,-102.163686,90.0,bottom
LED4,144.571079,-75.72,0.0,bottom
LED40,107.38,-99.277019,270.0,bottom
LED41,107.38,-93.610353,270.0,bottom
LED42,136.58,-95.58,180.0,bottom
LED43,136.2,-138.3,270.0,top
LED5,141.651079,-71.7,180.0,bottom
LED6,136.001079,-71.7,180.0,bottom
LED7,130.351079,-71.7,180.0,bottom
LED8,133.237746,-67.66,0.0,bottom
LED9,138.904412,-67.66,0.0,bottom
NT1,122.7,-93.39,270.0,top
Q1,142.6625,-108.95,180.0,bottom
Q2,142.375,-106.2,180.0,bottom
R1,135.27,-101.91,270.0,bottom
R10,133.58,-86.8,270.0,bottom
R11,143.938,-106.239,270.0,bottom
R13,141.1,-90.2,180.0,bottom
R14,141.6,-88.9,0.0,bottom
R16,144.057,-100.525,180.0,bottom
R17,138.394,-106.46,90.0,bottom
R18,136.820667,-106.459999,90.0,bottom
R19,135.247333,-106.459999,90.0,bottom
R2,134.27,-101.91,270.0,bottom
R20,133.674,-106.46,90.0,bottom
R21,144.057,-103.939,180.0,bottom
R23,144.057,-102.794333,180.0,bottom
R25,133.05,-84.29,270.0,bottom
R3,129.985,-84.896,270.0,bottom
R4,134.409999,-88.4,180.0,bottom
R5,131.1,-84.9,270.0,bottom
R6,138.72,-100.53,270.0,bottom
R7,127.88,-88.18,180.0,bottom
R8,127.3,-89.5,180.0,bottom
R9,132.52,-86.8,270.0,bottom
SW1,148.095,-95.7,270.0,bottom
TP10,169.62,-96.47,270.0,bottom
TP3,118.9,-96.443686,270.0,bottom
TP4,136.071079,-79.3,0.0,bottom
TP5,102.53,-96.49,270.0,bottom
TP6,136.36,-145.45,0.0,top
TP7,142.77,-138.63,90.0,top
TP8,129.45,-138.78,90.0,top
TP9,136.114,-62.9,180.0,bottom
U1,139.02,-93.45,90.0,bottom
U2,140.961,-99.485,90.0,bottom
U3,132.02,-92.1575,270.0,bottom
U4,147.157,-101.719,180.0,bottom
U5,142.067068,-86.748488,180.0,bottom
USB2,135.834003,-101.05,180.0,top
Y1,131.5,-98.85,180.0,bottom
